Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
Titan,Neo Iv Analog Silver Dial Men's Watch-1802SL02 / 1802SL02,4.3 out of 5 stars,400,"₹1,695","₹1,995",(15% off)
Fastrack,Autumn-Winter 19 Analog-Digital Orange Dial Men's Watch NM38035SP03/NN38035SP03,4.3 out of 5 stars,875,"₹3,370","₹4,995",(33% off)
SKMEI,Men's Digital Sports Watch 50m Waterproof LED Military Multifunction Smart Watch Stopwatch Countdown Auto Date Alarm,4.1 out of 5 stars,"2,504",₹749,"₹6,999",(89% off)
Casio,Casio Enticer Men Analog Blue Dial Men MTP-1302PD-2AVEF (A2227),4.5 out of 5 stars,"8,852","₹3,995",na,na
Fastrack,Stunners Quartz Analog Black Dial Stainless Steel Strap Watch for Guys - NT3255NM02,4.3 out of 5 stars,282,"₹1,995","₹2,495",(20% off)
Sonata,Smart Plaid Quartz Analog Black Dial Leather Strap Watch for Men-NS77105SL02W/NT77105SL02W,4.1 out of 5 stars,516,"₹1,075",na,na
BENYAR,Automatic Mechanical Skeleton Leather Strap Men's Watch,4.0 out of 5 stars,"1,143","₹3,990","₹5,999",(33% off)
BY BENYAR,Analogue Men's Watch ( Black Colored Strap),3.8 out of 5 stars,"4,490","₹2,890","₹4,499",(36% off)
Titan,Karishma Analog Black Dial Men's Watch NK1578SM04 / NK1578SM04,4.1 out of 5 stars,"1,136","₹2,200","₹2,445",(10% off)
Fossil,Bannon Analog Green Dial Men's Watch-BQ2492,4.4 out of 5 stars,271,"₹11,197","₹15,995",(30% off)
Matrix,"Blue, Black & Silver Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",3.6 out of 5 stars,"1,990",₹298,"₹2,499",(88% off)
Fastrack,Black Magic Analog Black Dial Men's Watch NM3089SL05/NN3089SL05/NP3089SL05,4.2 out of 5 stars,"4,626","₹2,605","₹2,895",(10% off)
Noise,"Noise Pulse 2 Pro [New Launch] 1.8"" Vibrant Display, Bluetooth Calling Smart Watch for Men & Women, 7 Days Battery Life, Metallic Finish, Built-in Games, Voice Assistance, Health Suite (Elite Black)",3.4 out of 5 stars,175,"₹1,699","₹6,999",(76% off)
LONGBO,Analog Business Casual Stainless Steel Decorative Subdials Watch for Men,3.9 out of 5 stars,834,₹990,"₹1,790",(45% off)
